epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.641,1.77795,3.72736,1.96858,0.15032,0.32214,0.1526,0.05013,2.11873,4.17157,2.64337,0.000475805,0.000475805,0.000475805
2,200.506,1.91999,3.64864,2.13909,0.15292,0.14676,0.14091,0.0532,2.12133,3.52141,2.57527,0.000928573,0.000928573,0.000928573
3,295.572,1.99668,3.60598,2.20823,0.46124,0.25739,0.17331,0.06796,2.22055,3.35515,2.62167,0.00135776,0.00135776,0.00135776
4,391.359,2.00459,3.40179,2.21048,0.43901,0.3203,0.16521,0.05419,2.11346,3.37214,2.47373,0.0013229,0.0013229,0.0013229
5,486.306,1.95927,3.2666,2.19148,0.16527,0.38733,0.18609,0.07222,2.06258,3.1966,2.50883,0.00128753,0.00128753,0.00128753
6,579.716,1.9119,3.14536,2.14049,0.25041,0.31519,0.2012,0.06388,2.17858,2.81768,2.49549,0.00125216,0.00125216,0.00125216
7,673.746,1.87154,3.06976,2.10084,0.37625,0.25797,0.22575,0.10161,1.90142,2.85831,2.27884,0.00121679,0.00121679,0.00121679
8,767.465,1.81295,2.96799,2.01506,0.26238,0.35819,0.2586,0.0985,1.99279,2.64189,2.3783,0.00118143,0.00118143,0.00118143
9,862.931,1.86072,2.86083,2.02754,0.25763,0.33406,0.235,0.08882,1.98404,2.79986,2.35349,0.00114606,0.00114606,0.00114606
10,957.264,1.81484,2.78298,2.0243,0.26053,0.41574,0.30926,0.12774,1.86763,2.25839,2.19894,0.00111069,0.00111069,0.00111069
11,1052.34,1.79812,2.73097,2.01875,0.35832,0.35498,0.29231,0.11997,1.93422,2.64139,2.34497,0.00107532,0.00107532,0.00107532
12,1147.3,1.78585,2.6688,2.00086,0.2674,0.40955,0.29162,0.10079,2.05652,2.48677,2.34378,0.00103995,0.00103995,0.00103995
13,1240.79,1.78192,2.62406,2.00037,0.31047,0.32879,0.2827,0.1123,1.9367,2.98638,2.29501,0.00100459,0.00100459,0.00100459
14,1333.23,1.7509,2.55637,1.98795,0.41026,0.4825,0.42819,0.18814,1.88711,2.12518,2.23717,0.000969219,0.000969219,0.000969219
15,1426.14,1.71739,2.51111,1.94297,0.30699,0.5363,0.34582,0.15499,1.84283,2.2318,2.18436,0.000933851,0.000933851,0.000933851
16,1518.07,1.71464,2.52201,1.9385,0.42741,0.36719,0.36055,0.15479,1.94182,2.44592,2.24105,0.000898484,0.000898484,0.000898484
17,1612.44,1.71195,2.483,1.92479,0.4502,0.48464,0.50775,0.22979,1.74468,2.00912,2.10581,0.000863116,0.000863116,0.000863116
18,1708.11,1.65941,2.40845,1.86888,0.41798,0.40419,0.40155,0.19496,1.7534,2.25237,2.08175,0.000827748,0.000827748,0.000827748
19,1801.81,1.6464,2.3502,1.87154,0.4467,0.43297,0.46101,0.20845,1.85451,1.96411,2.17392,0.00079238,0.00079238,0.00079238
20,1895.22,1.64378,2.3572,1.87235,0.46888,0.52192,0.5378,0.255,1.70076,1.82498,2.02254,0.000757013,0.000757013,0.000757013
21,1988.97,1.62259,2.29,1.84884,0.49818,0.52213,0.50994,0.23211,1.78125,1.82969,2.11418,0.000721645,0.000721645,0.000721645
22,2082.95,1.62217,2.27966,1.86781,0.42672,0.45464,0.40468,0.17134,1.8569,2.91197,2.18771,0.000686277,0.000686277,0.000686277
23,2176.32,1.6163,2.25753,1.85737,0.49183,0.44402,0.43157,0.19313,1.7844,2.38655,2.11321,0.000650909,0.000650909,0.000650909
24,2273.41,1.57508,2.2454,1.82189,0.53189,0.5422,0.56501,0.26356,1.67355,2.08792,1.99717,0.000615542,0.000615542,0.000615542
25,2377.59,1.56534,2.22839,1.79732,0.55332,0.50964,0.52334,0.2393,1.69497,2.20361,2.03794,0.000580174,0.000580174,0.000580174
26,2483.85,1.55358,2.163,1.80161,0.40225,0.6501,0.54707,0.26109,1.69968,2.21515,2.02566,0.000544806,0.000544806,0.000544806
27,2589.34,1.57231,2.14278,1.81565,0.46584,0.49993,0.51136,0.21697,1.77241,2.02403,2.1204,0.000509438,0.000509438,0.000509438
28,2695.72,1.54691,2.14,1.78998,0.5727,0.54755,0.57959,0.27443,1.67526,1.78756,2.0049,0.000474071,0.000474071,0.000474071
29,2801.69,1.51762,2.10716,1.77594,0.4928,0.57872,0.56536,0.2655,1.69682,1.76722,2.00315,0.000438703,0.000438703,0.000438703
30,2907.21,1.52419,2.11179,1.77481,0.44905,0.65676,0.5702,0.26452,1.74703,2.18653,2.05609,0.000403335,0.000403335,0.000403335
31,3014.84,1.51005,1.77907,1.84691,0.45496,0.5841,0.55829,0.26434,1.65332,1.98652,1.99676,0.000367967,0.000367967,0.000367967
