epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.595,1.53418,1.43316,0.90657,0.23316,0.13172,0.05991,0.02524,1.36513,3.87498,0.78944,0.000666598,0.000666598,0.000666598
2,1209.84,1.50436,1.30404,0.88515,0.21151,0.16263,0.06097,0.02324,1.45081,3.67974,0.79135,0.00106928,0.00106928,0.00106928
3,1796.94,1.43304,1.23419,0.86179,0.18997,0.17957,0.05327,0.02175,1.41948,8.00856,0.76053,0.00120796,0.00120796,0.00120796
4,2390.92,1.38185,1.15578,0.83513,0.30144,0.19382,0.10444,0.04406,1.40945,2.89994,0.77127,0.000812,0.000812,0.000812
5,3005.63,1.31278,1.0919,0.81981,0.36317,0.20672,0.12497,0.05678,1.3523,5.6867,0.76337,0.000416,0.000416,0.000416
